integrantes,vinculacion,horas_dedicacion,url,grupo,inicio_vinculacion,fin_vinculacion,posgrade,clasification,articulos,capitulos,libros,softwares,innovaciones,trabajos_dirigidos
ELIANA CONSTANZA HIDALGO SANTANDER,Integrante,1,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000021453,4,2014-01-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
HECTOR ANDRES MARIN MUNOZ,Integrante,2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000042801,4,2016-01-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
JONATHAN ARTURO BAUTISTA CARRILLO,Integrante,40; 2; 40; 2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001429727,4; 167,2011-01-01; 2015-08-01, Actual,Maestría/Magister,Sin clasificar,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0
JORGE LUIS SANCHEZ ORTEGA,Integrante,2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001375353,4,2009-01-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,0,0,0
KATHERIN FAJARDO BARAHONA,Integrante,2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001613474,4,2017-05-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
KEVIN ANTONIO HERNANDEZ OSSA,Integrante,1,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001609340,4,2014-10-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
MOISES SANDOVAL BAENA,Integrante,3,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001443029,4,2017-03-01, Actual,Doctorado,Sin clasificar,0,0,0,0,0,0
YESID FABIAN ZAMBRANO SALGADO,Integrante,1,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000953849,4,2008-06-01, Actual,Doctorado,Sin clasificar,0,0,0,0,0,0
SERGIO BOTERO BOTERO,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000044156,5,2008-01-01, Actual,Doctorado,Investigador Senior (IS),28,12,7,0,0,387
ALEJANDRO SILVA CORTES,Integrante,2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001631520,5,2017-01-01, Actual,Maestría/Magister,Sin clasificar,1,0,0,0,0,0
ANDERSON DAMIAN JIMENEZ ALFARO,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000071139,5,2017-01-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,0,0,0
CARLOS ARTURO SALDARRIAGA CORTES,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000621544,5,2019-01-01, Actual,Doctorado,Sin clasificar,2,0,0,0,0,3
CLAUDIA MARIA GARCIA MAZO,Integrante,10; 8; 10; 8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001455334,5; 609,2017-01-01; 2013-02-01, Actual,Maestría/Magister,Sin clasificar,1; 2,0; 0,0; 0,0; 0,0; 0,0; 0
DIANA ELIZABETH LEZCANO ZAPATA,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000010612,5,2014-01-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
GUILLERMO ANDRES JIMENEZ ESTEVEZ,Integrante,2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001057847,5,2019-01-01, Actual,Doctorado,Sin clasificar,3,0,0,0,0,11
HENRY LANIADO RODAS,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000160350,5,2016-01-01, Actual,Doctorado,Investigador Asociado (I),2,0,0,0,0,0
IVAN ALONSO MONTOYA RESTREPO,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000191370,5,2014-03-01, Actual,Doctorado,Investigador Senior (IS),28,5,1,0,0,50
JOHAN ANDRES VELEZ HENAO,Integrante,5; 2; 5; 2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000010133,5; 169,2019-01-01; 2014-03-01, Actual,Doctorado,Sin clasificar,0; 7,0; 0,0; 0,0; 0,0; 0,0; 0
JUAN DAVID GONZALEZ RUIZ,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001483807,5,2015-11-01, Actual,Doctorado,Investigador Asociado (I),6,0,0,0,0,0
JUAN ESTEBAN HERNANDEZ BETANCUR,Integrante,2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001472214,5,2019-01-01, Actual,Doctorado,Investigador Junior (IJ),4,0,0,0,0,0
JUAN MANUEL ALZATE VELEZ,Integrante,1,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000217654,5,2003-06-01, Actual,Doctorado,Sin clasificar,2,0,3,0,0,0
JUAN PABLO VELEZ URIBE,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001552476,5,2019-01-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
LUIS GABRIEL MARIN COLLAZOS,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000952540,5,2019-01-01, Actual,Doctorado,Sin clasificar,2,0,0,0,0,0
LUZ ALEXANDRA MONTOYA RESTREPO,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000191264,5,2014-05-01, Actual,Doctorado,Investigador Senior (IS),26,4,2,0,0,79
RICARDO QUIJANO HURTADO,Integrante,2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000463922,5,2008-01-01, Actual,Doctorado,Sin clasificar,6,1,0,0,0,2
SANDRA PATRICIA ROJAS BERRIO,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000788970,5,2017-04-01, Actual,Doctorado,Investigador Senior (IS),1,2,0,0,0,0
SANTIAGO LEMOS CANO,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000418250,5,2011-01-01, Actual,Doctorado,Sin clasificar,3,0,0,0,0,0
MANUEL HERNANDO BERNAL BAUTISTA,Integrante,; ; ; ,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000248657,6; 13,2006-01-01; 2002-06-01, Actual,Doctorado,Investigador Senior (IS),49; 1,0; 0,0; 0,0; 0,0; 0,37; 0
ANDRES VIUCHE LOZANO,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000081595,6,2018-02-01, Actual,Pregrado/Universitario,Sin clasificar,4,0,0,0,0,0
ANGELICA ARENAS RODRIGUEZ,Integrante,; 20; ; 20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000300810,6; 149,2010-04-01; 2011-08-01, Actual,Doctorado,Sin clasificar,1; 4,0; 0,0; 0,0; 1,0; 0,0; 0
CARLOS ALBERTO GALINDO MARTINEZ,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001611469,6,2014-07-01, Actual,Pregrado/Universitario,Sin clasificar,3,0,0,0,0,0
CARLOS DANIEL BARON MOLINA,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001899717,6,2021-01-01, Actual,Técnico,Sin clasificar,0,0,0,0,0,0
CRISTIAN ALFONSO GALLEGO CARMONA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001451309,6,2011-06-01, Actual,Pregrado/Universitario,Sin clasificar,1,0,0,0,0,0
DAVID ALFONSO BEJARANO BONILLA,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000006809,6,2013-01-01, Actual,Maestría/Magister,Sin clasificar,1,0,0,0,0,0
ERIKA XIMENA CRUZ RODRIGUEZ,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001611339,6,2014-07-01, Actual,Pregrado/Universitario,Sin clasificar,2,0,0,0,0,0
GEORGE ANDERSON CUY MONTEALEGRE,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000005906,6,2013-06-01, Actual,Pregrado/Universitario,Sin clasificar,1,0,0,0,0,0
GLORIA TATIANA TORO SANCHEZ,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001498426,6,2011-10-01, Actual,Pregrado/Universitario,Sin clasificar,2,0,0,0,0,0
HUGO DANIEL HERNANDEZ TRUJILLO,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001502588,6,2013-02-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
JAMES HERRAN MEDINA,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000005847,6,2013-06-01, Actual,Pregrado/Universitario,Sin clasificar,2,0,0,0,0,0
JOHAN ALBEIRO ROMERO GARCIA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001433198,6,2011-02-01, Actual,Pregrado/Universitario,Sin clasificar,2,0,0,0,0,0
JOHANA ALEJANDRA CASTRO ARANGO,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001577264,6,2014-02-01, Actual,Pregrado/Universitario,Sin clasificar,1,0,0,0,0,0
